ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0000929638-24-004393	021-533884               	31-DEC-2024		X0708	D	LIVE		
0002050445-24-000001	021-533883               	31-DEC-2024		X0708	D	LIVE		
0002037660-24-000004	021-532144               	31-DEC-2024		X0708	D/A	LIVE		
0001720453-24-000004	021-533882               	31-DEC-2024		X0708	D	LIVE		
0002044738-24-000002	021-533881               	31-DEC-2024		X0708	D	LIVE		
0002047936-24-000003	021-533880               	31-DEC-2024		X0708	D	LIVE		
0001836872-24-000003	021-533879               	31-DEC-2024		X0708	D	LIVE		
0001874950-24-000001	021-533878               	31-DEC-2024		X0708	D	LIVE		
0001934832-24-000002	021-533877               	31-DEC-2024		X0708	D	LIVE		
0002044558-24-000001	021-533876               	31-DEC-2024		X0708	D	LIVE		
0002050110-24-000001	021-533875               	31-DEC-2024		X0708	D	LIVE		
0002050247-24-000001	021-533874               	31-DEC-2024		X0708	D	LIVE		
0002050073-24-000002	021-533873               	31-DEC-2024		X0708	D	LIVE		
0002050521-24-000001	021-533872               	31-DEC-2024		X0708	D	LIVE		
0002049503-24-000003	021-533871               	31-DEC-2024		X0708	D	LIVE		
0002049576-24-000001	021-533870               	31-DEC-2024		X0708	D	LIVE		
0001707251-24-000001	021-533869               	31-DEC-2024		X0708	D	LIVE		
0002050300-24-000001	021-533868               	31-DEC-2024		X0708	D	LIVE		
0000912282-24-000923	021-533867               	31-DEC-2024	1000	X0708	D	LIVE		
0002034847-24-000002	021-533866               	31-DEC-2024		X0708	D	LIVE		
0002050313-24-000001	021-533865               	31-DEC-2024		X0708	D	LIVE		
0001999188-24-000001	021-495998               	31-DEC-2024		X0708	D/A	LIVE		
0001682360-24-000003	021-268989               	31-DEC-2024		X0708	D/A	LIVE		
0002044633-24-000001	021-533864               	31-DEC-2024		X0708	D	LIVE		
0001898671-24-000002	021-426986               	31-DEC-2024		X0708	D/A	LIVE		
0001693606-24-000001	021-277450               	31-DEC-2024		X0708	D/A	LIVE		
0002050420-24-000001	021-533863               	31-DEC-2024		X0708	D	LIVE		
0001789804-24-000002	021-352353               	31-DEC-2024		X0708	D/A	LIVE		
0001985209-24-000001	021-498342               	31-DEC-2024		X0708	D/A	LIVE		
0001900829-24-000002	021-430487               	31-DEC-2024		X0708	D/A	LIVE		
0001759133-24-000002	021-533862               	31-DEC-2024		X0708	D	LIVE		
0002046317-24-000001	021-533861               	31-DEC-2024		X0708	D	LIVE		
0001989381-24-000001	021-489885               	31-DEC-2024		X0708	D/A	LIVE		
