ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0001801214-24-000002	021-359072               	27-DEC-2024		X0708	D/A	LIVE		
0002029922-24-000002	021-533428               	27-DEC-2024		X0708	D	LIVE		
0002006030-24-000001	021-500829               	27-DEC-2024		X0708	D/A	LIVE		
0001641404-24-000002	021-533427               	27-DEC-2024		X0708	D	LIVE		
0001408863-24-000002	021-106965               	27-DEC-2024		X0708	D/A	LIVE		
0001408858-24-000002	021-106993               	27-DEC-2024		X0708	D/A	LIVE		
0002045959-24-000002	021-533426               	27-DEC-2024		X0708	D	LIVE		
0002050065-24-000001	021-533425               	27-DEC-2024		X0708	D	LIVE		
0001062993-24-021224	021-533424               	27-DEC-2024		X0708	D	LIVE		
0000919574-24-007301	021-533423               	27-DEC-2024		X0708	D	LIVE		
0001062993-24-021223	021-533422               	27-DEC-2024		X0708	D	LIVE		
0002050016-24-000001	021-533421               	27-DEC-2024		X0708	D	LIVE		
0001827551-24-000036	021-533420               	27-DEC-2024		X0708	D	LIVE		
0001635263-24-000001	021-234947               	27-DEC-2024		X0708	D/A	LIVE		
0001827551-24-000035	021-533419               	27-DEC-2024		X0708	D	LIVE		
0001626565-24-000003	021-229222               	27-DEC-2024		X0708	D/A	LIVE		
0001813695-24-000002	021-533418               	27-DEC-2024		X0708	D	LIVE		
0001813695-24-000001	021-533417               	27-DEC-2024		X0708	D	LIVE		
0001566114-24-000114	021-123219               	27-DEC-2024		X0708	D/A	LIVE		
0001566114-24-000113	021-149395               	27-DEC-2024	6282	X0708	D/A	LIVE		
0001566114-24-000112	021-385525               	27-DEC-2024		X0708	D/A	LIVE		
0002015881-24-000002	021-533416               	27-DEC-2024		X0708	D	LIVE		
0001912786-24-000001	021-435415               	27-DEC-2024		X0708	D/A	LIVE		
0002049727-24-000002	021-533415               	27-DEC-2024		X0708	D	LIVE		
0002047218-24-000001	021-533414               	27-DEC-2024		X0708	D	LIVE		
0002048615-24-000001	021-533413               	27-DEC-2024		X0708	D	LIVE		
0002047827-24-000001	021-533412               	27-DEC-2024		X0708	D	LIVE		
0000902664-24-007047	021-501088               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007046	021-427252               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007045	021-384911               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007044	021-501089               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007043	021-501090               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007042	021-501087               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007041	021-501086               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007040	021-468871               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007039	021-500900               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007038	021-500901               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007037	021-427268               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007036	021-427267               	27-DEC-2024		X0708	D/A	LIVE		
0000902664-24-007035	021-230910               	27-DEC-2024		X0708	D/A	LIVE		
0002038221-24-000002	021-533411               	27-DEC-2024		X0708	D	LIVE		
0002033940-24-000002	021-533410               	27-DEC-2024		X0708	D	LIVE		
0001493152-24-052195	021-500872               	27-DEC-2024		X0708	D/A	LIVE		
0001493152-24-052193	021-500869               	27-DEC-2024		X0708	D/A	LIVE		
0002027266-24-000002	021-533409               	27-DEC-2024		X0708	D	LIVE		
0002049936-24-000001	021-533397               	27-DEC-2024		X0708	D	LIVE		
0002033840-24-000001	021-533399               	27-DEC-2024		X0708	D	LIVE		
0002048392-24-000001	021-533400               	27-DEC-2024		X0708	D	LIVE		
0002044158-24-000001	021-533405               	27-DEC-2024		X0708	D	LIVE		
0002049383-24-000001	021-533403               	27-DEC-2024		X0708	D	LIVE		
0002050059-24-000001	021-533402               	27-DEC-2024		X0708	D	LIVE		
0001646386-24-000003	021-242565               	27-DEC-2024		X0708	D/A	LIVE		
0002049707-24-000001	021-533406               	27-DEC-2024		X0708	D	LIVE		
0002049590-24-000001	021-533404               	27-DEC-2024		X0708	D	LIVE		
0002050043-24-000001	021-533401               	27-DEC-2024		X0708	D	LIVE		
0002049522-24-000001	021-533407               	27-DEC-2024		X0708	D	LIVE		
0002049458-24-000001	021-533398               	27-DEC-2024		X0708	D	LIVE		
0002048644-24-000001	021-533408               	27-DEC-2024		X0708	D	LIVE		
0001879785-24-000062	021-533396               	26-DEC-2024		X0708	D	LIVE		
0002046792-24-000001	021-533395               	26-DEC-2024		X0708	D	LIVE		
0001231919-24-000096	021-533394               	26-DEC-2024		X0708	D	LIVE		
0002050036-24-000001	021-533393               	26-DEC-2024		X0708	D	LIVE		
0001879785-24-000061	021-533392               	26-DEC-2024	6798	X0708	D	LIVE		
0000897069-24-002331	021-533391               	26-DEC-2024		X0708	D	LIVE		
0001798949-24-000004	021-533390               	26-DEC-2024		X0708	D	LIVE		
0002049238-24-000003	021-533389               	26-DEC-2024		X0708	D	LIVE		
0002045635-24-000002	021-533388               	26-DEC-2024		X0708	D	LIVE		
0001871682-24-000001	021-533387               	26-DEC-2024		X0708	D	LIVE		
0002045749-24-000002	021-533386               	26-DEC-2024		X0708	D	LIVE		
0001946593-24-000002	021-460553               	26-DEC-2024		X0708	D/A	LIVE		
0001972966-24-000001	021-533385               	26-DEC-2024		X0708	D	LIVE		
0002006988-24-000003	021-501605               	26-DEC-2024		X0708	D/A	LIVE		
0002045732-24-000002	021-533384               	26-DEC-2024		X0708	D	LIVE		
0000919574-24-007294	021-533383               	26-DEC-2024		X0708	D	LIVE		
0002045746-24-000002	021-533382               	26-DEC-2024		X0708	D	LIVE		
0002000196-24-000001	021-500732               	26-DEC-2024		X0708	D/A	LIVE		
0002000316-24-000001	021-500730               	26-DEC-2024		X0708	D/A	LIVE		
0002049471-24-000001	021-533381               	26-DEC-2024		X0708	D	LIVE		
0002000045-24-000001	021-500731               	26-DEC-2024		X0708	D/A	LIVE		
0002030297-24-000002	021-533380               	26-DEC-2024		X0708	D	LIVE		
0002000078-24-000001	021-500733               	26-DEC-2024		X0708	D/A	LIVE		
0002050008-24-000002	021-533379               	26-DEC-2024		X0708	D	LIVE		
0002046192-24-000001	021-533378               	26-DEC-2024		X0708	D	LIVE		
0001912575-24-000002	021-533377               	26-DEC-2024		X0708	D	LIVE		
0001946593-24-000001	021-460553               	26-DEC-2024		X0708	D/A	LIVE		
0002046234-24-000002	021-533376               	26-DEC-2024		X0708	D	LIVE		
0002035957-24-000004	021-533375               	26-DEC-2024		X0708	D	LIVE		
0001523159-24-000002	021-426878               	26-DEC-2024		X0708	D/A	LIVE		
0002049962-24-000002	021-533374               	26-DEC-2024		X0708	D	LIVE		
0002032696-24-000004	021-523478               	26-DEC-2024		X0708	D/A	LIVE		
0001959702-24-000001	021-533373               	26-DEC-2024		X0708	D	LIVE		
0002049962-24-000001	021-533372               	26-DEC-2024		X0708	D	LIVE		
0001012975-24-000551	021-533371               	26-DEC-2024		X0708	D	LIVE		
0002035957-24-000003	021-533370               	26-DEC-2024		X0708	D	LIVE		
0001896300-24-000001	021-422995               	26-DEC-2024		X0708	D/A	LIVE		
0000950172-24-000473	021-533369               	26-DEC-2024		X0708	D	LIVE		
0001905252-24-000001	021-533368               	26-DEC-2024		X0708	D	LIVE		
0001948357-24-000023	021-459961               	26-DEC-2024		X0708	D/A	LIVE		
0001523159-24-000001	021-426971               	26-DEC-2024		X0708	D/A	LIVE		
0002049709-24-000003	021-533367               	26-DEC-2024		X0708	D	LIVE		
0002048560-24-000001	021-533366               	26-DEC-2024		X0708	D	LIVE		
0000950172-24-000472	021-533365               	26-DEC-2024		X0708	D	LIVE		
0000950172-24-000471	021-533364               	26-DEC-2024		X0708	D	LIVE		
0002035957-24-000002	021-533363               	26-DEC-2024		X0708	D	LIVE		
0002049709-24-000002	021-533362               	26-DEC-2024		X0708	D	LIVE		
0001213900-24-112641	021-533361               	26-DEC-2024		X0708	D	LIVE		
0002049059-24-000002	021-533360               	26-DEC-2024		X0708	D	LIVE		
0002049405-24-000001	021-533359               	26-DEC-2024		X0708	D	LIVE		
0002049709-24-000001	021-533358               	26-DEC-2024		X0708	D	LIVE		
0002049994-24-000001	021-533357               	26-DEC-2024		X0708	D	LIVE		
0002049952-24-000001	021-533356               	26-DEC-2024		X0708	D	LIVE		
0001080368-24-000023	021-533355               	26-DEC-2024		X0708	D	LIVE		
0001894900-24-000001	021-422557               	26-DEC-2024		X0708	D/A	LIVE		
0002049550-24-000001	021-533354               	26-DEC-2024		X0708	D	LIVE		
0001828710-24-000002	021-378314               	26-DEC-2024		X0708	D/A	LIVE		
0002049824-24-000001	021-533353               	26-DEC-2024		X0708	D	LIVE		
0001991918-24-000001	021-491068               	26-DEC-2024		X0708	D/A	LIVE		
0002043632-24-000001	021-533352               	26-DEC-2024		X0708	D	LIVE		
0002049807-24-000003	021-533351               	26-DEC-2024		X0708	D	LIVE		
0002048876-24-000009	021-201229               	26-DEC-2024		X0708	D/A	LIVE		
0001977180-24-000001	021-481372               	26-DEC-2024		X0708	D/A	LIVE		
0001507286-24-000002	021-533350               	26-DEC-2024		X0708	D	LIVE		
0002048876-24-000008	021-500825               	26-DEC-2024		X0708	D/A	LIVE		
0002044057-24-000001	021-533349               	26-DEC-2024		X0708	D	LIVE		
0002048876-24-000007	021-500827               	26-DEC-2024		X0708	D/A	LIVE		
0002043635-24-000001	021-533348               	26-DEC-2024		X0708	D	LIVE		
0002048876-24-000006	021-424598               	26-DEC-2024		X0708	D/A	LIVE		
0001535723-24-000004	021-533347               	26-DEC-2024		X0708	D	LIVE		
0002048876-24-000005	021-173466               	26-DEC-2024		X0708	D/A	LIVE		
0001916979-24-000001	021-533346               	26-DEC-2024		X0708	D	LIVE		
0002049807-24-000002	021-533345               	26-DEC-2024		X0708	D	LIVE		
0002046839-24-000001	021-533344               	26-DEC-2024		X0708	D	LIVE		
0002047387-24-000001	021-533343               	26-DEC-2024		X0708	D	LIVE		
0002049562-24-000001	021-533342               	26-DEC-2024		X0708	D	LIVE		
0001581185-24-000003	021-504367               	26-DEC-2024		X0708	D/A	LIVE		
0002046676-24-000002	021-533341               	26-DEC-2024		X0708	D	LIVE		
0002047761-24-000001	021-533340               	26-DEC-2024		X0708	D	LIVE		
0001554869-24-000002	021-533339               	26-DEC-2024		X0708	D	LIVE		
0002048876-24-000004	021-533338               	26-DEC-2024		X0708	D	LIVE		
0002041782-24-000001	021-533337               	26-DEC-2024		X0708	D	LIVE		
0002032481-24-000002	021-520394               	26-DEC-2024		X0708	D/A	LIVE		
0002048876-24-000003	021-533336               	26-DEC-2024		X0708	D	LIVE		
0002038739-24-000002	021-533335               	26-DEC-2024		X0708	D	LIVE		
0001908948-24-000001	021-533334               	26-DEC-2024		X0708	D	LIVE		
0002048876-24-000002	021-533333               	26-DEC-2024		X0708	D	LIVE		
0002049978-24-000001	021-533332               	26-DEC-2024		X0708	D	LIVE		
0001424288-24-000005	021-530840               	26-DEC-2024		X0708	D/A	LIVE		
0002007592-24-000002	021-501930               	26-DEC-2024		X0708	D/A	LIVE		
0002049732-24-000001	021-533331               	26-DEC-2024		X0708	D	LIVE		
0002043516-24-000001	021-528842               	26-DEC-2024		X0708	D/A	LIVE		
0002007592-24-000001	021-502006               	26-DEC-2024		X0708	D/A	LIVE		
0001989906-24-000002	021-492798               	26-DEC-2024		X0708	D/A	LIVE		
0001725995-24-000003	021-533330               	26-DEC-2024		X0708	D	LIVE		
0002049848-24-000002	021-533329               	26-DEC-2024		X0708	D	LIVE		
0001819730-24-000001	021-533328               	26-DEC-2024		X0708	D	LIVE		
0002049909-24-000001	021-533327               	26-DEC-2024		X0708	D	LIVE		
0002046814-24-000001	021-533326               	26-DEC-2024		X0708	D	LIVE		
0001903596-24-000744	021-533325               	26-DEC-2024	3640	X0708	D	LIVE		
0001843720-24-000002	021-533324               	26-DEC-2024		X0708	D	LIVE		
0001932455-24-000001	021-533323               	26-DEC-2024		X0708	D	LIVE		
0002048169-24-000002	021-533322               	26-DEC-2024		X0708	D	LIVE		
0002049514-24-000001	021-500740               	26-DEC-2024		X0708	D/A	LIVE		
0002041471-24-000002	021-533321               	26-DEC-2024		X0708	D	LIVE		
0002049808-24-000001	021-533320               	26-DEC-2024		X0708	D	LIVE		
0001943240-24-000002	021-533319               	26-DEC-2024		X0708	D	LIVE		
0002046612-24-000002	021-533318               	26-DEC-2024		X0708	D	LIVE		
0001943240-24-000001	021-533317               	26-DEC-2024		X0708	D	LIVE		
0002048169-24-000001	021-533316               	26-DEC-2024		X0708	D	LIVE		
0002049438-24-000001	021-533315               	26-DEC-2024		X0708	D	LIVE		
0002049716-24-000001	021-533314               	26-DEC-2024		X0708	D	LIVE		
0002049948-24-000001	021-533313               	26-DEC-2024		X0708	D	LIVE		
0001897136-24-000001	021-533312               	26-DEC-2024		X0708	D	LIVE		
0001668653-24-000001	021-533311               	26-DEC-2024		X0708	D	LIVE		
0002049578-24-000001	021-533310               	26-DEC-2024		X0708	D	LIVE		
0002049577-24-000001	021-533309               	26-DEC-2024		X0708	D	LIVE		
0002049537-24-000001	021-533308               	26-DEC-2024		X0708	D	LIVE		
0002010039-24-000001	021-533307               	26-DEC-2024		X0708	D	LIVE		
0002049862-24-000001	021-533306               	26-DEC-2024		X0708	D	LIVE		
0002049536-24-000001	021-533305               	26-DEC-2024		X0708	D	LIVE		
0002046526-24-000001	021-533304               	26-DEC-2024		X0708	D	LIVE		
0002049863-24-000001	021-533303               	26-DEC-2024		X0708	D	LIVE		
0002049533-24-000001	021-533302               	26-DEC-2024		X0708	D	LIVE		
0002049301-24-000001	021-533301               	26-DEC-2024		X0708	D	LIVE		
0001987196-24-000003	021-533300               	26-DEC-2024		X0708	D	LIVE		
0002047538-24-000001	021-533299               	26-DEC-2024		X0708	D	LIVE		
0002049866-24-000001	021-533298               	26-DEC-2024		X0708	D	LIVE		
0002049864-24-000001	021-533297               	26-DEC-2024		X0708	D	LIVE		
0002049874-24-000001	021-533296               	26-DEC-2024		X0708	D	LIVE		
0002049875-24-000001	021-533295               	26-DEC-2024		X0708	D	LIVE		
0002047320-24-000001	021-533294               	26-DEC-2024		X0708	D	LIVE		
0002005786-24-000002	021-500735               	26-DEC-2024		X0708	D/A	LIVE		
0002046507-24-000001	021-533293               	26-DEC-2024		X0708	D	LIVE		
0002018684-24-000028	021-514437               	26-DEC-2024		X0708	D/A	LIVE		
0002045898-24-000001	021-533292               	26-DEC-2024		X0708	D	LIVE		
0002032333-24-000002	021-524728               	26-DEC-2024		X0708	D/A	LIVE		
0002049865-24-000001	021-533291               	26-DEC-2024		X0708	D	LIVE		
0001837197-24-000001	021-533290               	26-DEC-2024		X0708	D	LIVE		
0002049854-24-000001	021-533289               	26-DEC-2024		X0708	D	LIVE		
0002008991-24-000002	021-511959               	26-DEC-2024		X0708	D/A	LIVE		
0002048158-24-000001	021-533288               	26-DEC-2024		X0708	D	LIVE		
0002045142-24-000002	021-533287               	26-DEC-2024		X0708	D	LIVE		
0001495855-24-000002	021-533286               	26-DEC-2024		X0708	D	LIVE		
0002048162-24-000001	021-533285               	26-DEC-2024		X0708	D	LIVE		
0002039957-24-000001	021-533284               	26-DEC-2024		X0708	D	LIVE		
0002041737-24-000001	021-533283               	26-DEC-2024		X0708	D	LIVE		
0002048163-24-000001	021-533282               	26-DEC-2024		X0708	D	LIVE		
0001974144-24-000001	021-533281               	26-DEC-2024		X0708	D	LIVE		
0001577377-24-000001	021-196775               	26-DEC-2024		X0708	D/A	LIVE		
0002018562-24-000031	021-511837               	26-DEC-2024		X0708	D/A	LIVE		
0002049108-24-000001	021-533280               	26-DEC-2024		X0708	D	LIVE		
0002049434-24-000001	021-533279               	26-DEC-2024		X0708	D	LIVE		
0002049384-24-000001	021-533278               	26-DEC-2024		X0708	D	LIVE		
0000945621-24-001032	021-533277               	26-DEC-2024		X0708	D	LIVE		
0002049401-24-000002	021-533276               	26-DEC-2024		X0708	D	LIVE		
0002048078-24-000002	021-533275               	26-DEC-2024		X0708	D	LIVE		
0001916462-24-000001	021-533274               	26-DEC-2024		X0708	D	LIVE		
0002048150-24-000001	021-533273               	26-DEC-2024		X0708	D	LIVE		
0002049387-24-000001	021-533272               	26-DEC-2024		X0708	D	LIVE		
0002047811-24-000001	021-533271               	26-DEC-2024		X0708	D	LIVE		
0002047178-24-000001	021-533270               	26-DEC-2024		X0708	D	LIVE		
0002032711-24-000004	021-523457               	26-DEC-2024		X0708	D/A	LIVE		
0001013594-24-001041	021-499867               	26-DEC-2024		X0708	D/A	LIVE		
0002031002-24-000003	021-519490               	26-DEC-2024		X0708	D/A	LIVE		
0002045702-24-000001	021-533269               	26-DEC-2024		X0708	D	LIVE		
0002049580-24-000001	021-533268               	26-DEC-2024		X0708	D	LIVE		
0001912572-24-000003	021-533267               	26-DEC-2024		X0708	D	LIVE		
0002046886-24-000002	021-533266               	26-DEC-2024		X0708	D	LIVE		
0002049547-24-000001	021-533265               	26-DEC-2024		X0708	D	LIVE		
0002031841-24-000002	021-533180               	26-DEC-2024		X0708	D/A	LIVE		
0001952526-24-000012	021-463317               	26-DEC-2024		X0708	D/A	LIVE		
0002049525-24-000001	021-533264               	26-DEC-2024		X0708	D	LIVE		
0002049386-24-000001	021-533263               	26-DEC-2024		X0708	D	LIVE		
0002041374-24-000001	021-533262               	26-DEC-2024		X0708	D	LIVE		
0002047332-24-000003	021-531102               	26-DEC-2024		X0708	D/A	LIVE		
0002049549-24-000001	021-533261               	26-DEC-2024		X0708	D	LIVE		
0001816695-24-000012	021-370222               	26-DEC-2024		X0708	D/A	LIVE		
0002048015-24-000001	021-533260               	26-DEC-2024		X0708	D	LIVE		
0001804435-24-000012	021-361381               	26-DEC-2024		X0708	D/A	LIVE		
0002048876-24-000001	021-533259               	26-DEC-2024		X0708	D	LIVE		
0002049669-24-000001	021-533258               	26-DEC-2024		X0708	D	LIVE		
0002048999-24-000002	021-533257               	26-DEC-2024		X0708	D	LIVE		
0001804211-24-000012	021-361377               	26-DEC-2024		X0708	D/A	LIVE		
0001896409-24-000012	021-423039               	26-DEC-2024		X0708	D/A	LIVE		
0002049524-24-000001	021-533256               	26-DEC-2024		X0708	D	LIVE		
0002048075-24-000001	021-533255               	26-DEC-2024		X0708	D	LIVE		
0002049758-24-000001	021-533254               	26-DEC-2024		X0708	D	LIVE		
0002049543-24-000001	021-533253               	26-DEC-2024		X0708	D	LIVE		
0001135856-24-000012	021-245023               	26-DEC-2024		X0708	D/A	LIVE		
0001993188-24-000001	021-494813               	26-DEC-2024		X0708	D/A	LIVE		
0002049861-24-000001	021-533252               	26-DEC-2024		X0708	D	LIVE		
0002049894-24-000001	021-533251               	26-DEC-2024		X0708	D	LIVE		
0002049581-24-000001	021-533250               	26-DEC-2024		X0708	D	LIVE		
0001601405-24-000012	021-303083               	26-DEC-2024		X0708	D/A	LIVE		
0002024971-24-000002	021-533249               	26-DEC-2024		X0708	D	LIVE		
0001343394-24-000014	021-303013               	26-DEC-2024		X0708	D/A	LIVE		
0002049579-24-000001	021-533248               	26-DEC-2024		X0708	D	LIVE		
0002001851-24-000003	021-512655               	26-DEC-2024		X0708	D/A	LIVE		
0002049061-24-000001	021-533247               	26-DEC-2024		X0708	D	LIVE		
0002049140-24-000002	021-533246               	26-DEC-2024		X0708	D	LIVE		
0002049582-24-000001	021-533245               	26-DEC-2024		X0708	D	LIVE		
0002049889-24-000001	021-533244               	26-DEC-2024		X0708	D	LIVE		
0002049545-24-000001	021-533243               	26-DEC-2024		X0708	D	LIVE		
0002049890-24-000001	021-533242               	26-DEC-2024		X0708	D	LIVE		
0002002446-24-000001	021-533241               	26-DEC-2024		X0708	D	LIVE		
0002049891-24-000001	021-533240               	26-DEC-2024		X0708	D	LIVE		
0002049892-24-000001	021-533239               	26-DEC-2024		X0708	D	LIVE		
0002049893-24-000001	021-533238               	26-DEC-2024		X0708	D	LIVE		
0002012980-24-000002	021-533237               	26-DEC-2024		X0708	D	LIVE		
0002020304-24-000001	021-533236               	26-DEC-2024		X0708	D	LIVE		
0001315863-24-000892	021-533235               	26-DEC-2024		X0708	D	LIVE		
0001942986-24-000001	021-456545               	26-DEC-2024		X0708	D/A	LIVE		
0001877238-24-000001	021-409167               	26-DEC-2024		X0708	D/A	LIVE		
0001876843-24-000001	021-409164               	26-DEC-2024		X0708	D/A	LIVE		
0001876831-24-000001	021-409160               	26-DEC-2024		X0708	D/A	LIVE		
0001965428-24-000001	021-473343               	26-DEC-2024		X0708	D/A	LIVE		
0001493152-24-051974	021-533234               	26-DEC-2024	4522	X0708	D	LIVE		
0001493152-24-051962	021-533233               	26-DEC-2024	2080	X0708	D	LIVE		
0001493152-24-051961	021-533232               	26-DEC-2024		X0708	D	LIVE		
0002049084-24-000001	021-533209               	26-DEC-2024		X0708	D	LIVE		
0002049871-24-000001	021-533221               	26-DEC-2024		X0708	D	LIVE		
0002048817-24-000001	021-533227               	26-DEC-2024		X0708	D	LIVE		
0002049898-24-000001	021-533212               	26-DEC-2024		X0708	D	LIVE		
0002049351-24-000001	021-533225               	26-DEC-2024		X0708	D	LIVE		
0002047716-24-000001	021-533222               	26-DEC-2024		X0708	D	LIVE		
0002048717-24-000002	021-533228               	26-DEC-2024		X0708	D	LIVE		
0002049899-24-000001	021-533210               	26-DEC-2024		X0708	D	LIVE		
0001752026-24-000002	021-521284               	26-DEC-2024		X0708	D/A	LIVE		
0002049870-24-000001	021-533223               	26-DEC-2024		X0708	D	LIVE		
0002034535-24-000001	021-533230               	26-DEC-2024		X0708	D	LIVE		
0002049869-24-000001	021-533220               	26-DEC-2024		X0708	D	LIVE		
0002049654-24-000001	021-533224               	26-DEC-2024		X0708	D	LIVE		
0002049886-24-000001	021-533218               	26-DEC-2024		X0708	D	LIVE		
0002008578-24-000002	021-502732               	26-DEC-2024		X0708	D/A	LIVE		
0002019351-24-000002	021-533231               	26-DEC-2024		X0708	D	LIVE		
0002049887-24-000001	021-533215               	26-DEC-2024		X0708	D	LIVE		
0002049867-24-000001	021-533217               	26-DEC-2024		X0708	D	LIVE		
0002049678-24-000001	021-533219               	26-DEC-2024		X0708	D	LIVE		
0001183740-24-000096	021-533229               	26-DEC-2024		X0708	D	LIVE		
0002042750-24-000001	021-533216               	26-DEC-2024		X0708	D	LIVE		
0002049901-24-000001	021-533214               	26-DEC-2024		X0708	D	LIVE		
0001748441-24-000001	021-533211               	26-DEC-2024	7374	X0708	D	LIVE		
0002048717-24-000001	021-533226               	26-DEC-2024		X0708	D	LIVE		
0002049895-24-000001	021-533213               	26-DEC-2024		X0708	D	LIVE		
0001104659-24-131393	021-530888               	23-DEC-2024	7359	X0708	D/A	LIVE		
0000902664-24-007002	021-533208               	23-DEC-2024		X0708	D	LIVE		
0002046487-24-000001	021-533207               	23-DEC-2024		X0708	D	LIVE		
0001988351-24-000001	021-499745               	23-DEC-2024		X0708	D/A	LIVE		
0002049675-24-000001	021-533206               	23-DEC-2024		X0708	D	LIVE		
0001045078-24-000001	021-533205               	23-DEC-2024		X0708	D	LIVE		
0001986435-24-000001	021-500399               	23-DEC-2024		X0708	D/A	LIVE		
0001988342-24-000001	021-499744               	23-DEC-2024		X0708	D/A	LIVE		
0002049454-24-000005	021-533204               	23-DEC-2024		X0708	D	LIVE		
0002006363-24-000001	021-501208               	23-DEC-2024		X0708	D/A	LIVE		
0001936122-24-000001	021-533203               	23-DEC-2024		X0708	D	LIVE		
0000950172-24-000470	021-533202               	23-DEC-2024		X0708	D	LIVE		
0001756129-24-000005	021-533201               	23-DEC-2024		X0708	D	LIVE		
0002049665-24-000001	021-533200               	23-DEC-2024		X0708	D	LIVE		
0002006541-24-000001	021-501218               	23-DEC-2024		X0708	D/A	LIVE		
0001960994-24-000001	021-469857               	23-DEC-2024		X0708	D/A	LIVE		
0000950142-24-002993	021-533199               	23-DEC-2024		X0708	D	LIVE		
0000950142-24-002992	021-533198               	23-DEC-2024		X0708	D	LIVE		
0000950142-24-002991	021-533197               	23-DEC-2024		X0708	D	LIVE		
0000950142-24-002990	021-533196               	23-DEC-2024		X0708	D	LIVE		
0001013594-24-001037	021-468403               	23-DEC-2024		X0708	D/A	LIVE		
0002049454-24-000004	021-533195               	23-DEC-2024		X0708	D	LIVE		
0002028317-24-000001	021-517205               	23-DEC-2024		X0708	D/A	LIVE		
0002049666-24-000001	021-533194               	23-DEC-2024		X0708	D	LIVE		
0001933969-24-000003	021-533193               	23-DEC-2024		X0708	D	LIVE		
0002043011-24-000001	021-533192               	23-DEC-2024		X0708	D	LIVE		
0002043035-24-000001	021-533191               	23-DEC-2024		X0708	D	LIVE		
0001140361-24-050263	021-533190               	23-DEC-2024		X0708	D	LIVE		
0002044905-24-000001	021-533189               	23-DEC-2024		X0708	D	LIVE		
0002049714-24-000001	021-533188               	23-DEC-2024		X0708	D	LIVE		
0002049644-24-000002	021-533187               	23-DEC-2024		X0708	D	LIVE		
0002049198-24-000001	021-533186               	23-DEC-2024		X0708	D	LIVE		
0002049632-24-000001	021-533185               	23-DEC-2024		X0708	D	LIVE		
0002047683-24-000001	021-533184               	23-DEC-2024		X0708	D	LIVE		
0001933964-24-000003	021-533183               	23-DEC-2024		X0708	D	LIVE		
0002049355-24-000002	021-533182               	23-DEC-2024		X0708	D	LIVE		
0002049644-24-000001	021-533181               	23-DEC-2024		X0708	D	LIVE		
0002031841-24-000001	021-533180               	23-DEC-2024		X0708	D	LIVE		
0001909185-24-000001	021-433352               	23-DEC-2024		X0708	D/A	LIVE		
0002049454-24-000003	021-533179               	23-DEC-2024		X0708	D	LIVE		
0001793573-24-000001	021-533178               	23-DEC-2024		X0708	D	LIVE		
0002047209-24-000002	021-533177               	23-DEC-2024		X0708	D	LIVE		
0002048861-24-000001	021-533176               	23-DEC-2024		X0708	D	LIVE		
0002017748-24-000007	021-509205               	23-DEC-2024		X0708	D/A	LIVE		
0001906763-24-000001	021-431336               	23-DEC-2024		X0708	D/A	LIVE		
0001633704-24-000003	021-233966               	23-DEC-2024		X0708	D/A	LIVE		
0002044056-24-000001	021-533175               	23-DEC-2024		X0708	D	LIVE		
0002049621-24-000001	021-533174               	23-DEC-2024		X0708	D	LIVE		
0001971734-24-000003	021-477546               	23-DEC-2024		X0708	D/A	LIVE		
0002049454-24-000002	021-533173               	23-DEC-2024		X0708	D	LIVE		
0002048232-24-000001	021-533172               	23-DEC-2024		X0708	D	LIVE		
0001763810-24-000003	021-330589               	23-DEC-2024		X0708	D/A	LIVE		
0002005084-24-000002	021-500504               	23-DEC-2024		X0708	D/A	LIVE		
0002049483-24-000001	021-533171               	23-DEC-2024		X0708	D	LIVE		
0002048926-24-000001	021-533170               	23-DEC-2024		X0708	D	LIVE		
0001987265-24-000002	021-500507               	23-DEC-2024		X0708	D/A	LIVE		
0002001802-24-000001	021-500501               	23-DEC-2024		X0708	D/A	LIVE		
0002044699-24-000007	021-533169               	23-DEC-2024		X0708	D	LIVE		
0001653545-24-000003	021-248594               	23-DEC-2024		X0708	D/A	LIVE		
0002001840-24-000001	021-500500               	23-DEC-2024		X0708	D/A	LIVE		
0002049454-24-000001	021-533168               	23-DEC-2024		X0708	D	LIVE		
0001493152-24-051820	021-533167               	23-DEC-2024	2834	X0708	D	LIVE		
0000935836-24-000768	021-504236               	23-DEC-2024		X0708	D/A	LIVE		
0002022031-24-000002	021-482224               	23-DEC-2024		X0708	D/A	LIVE		
0002048213-24-000001	021-533166               	23-DEC-2024		X0708	D	LIVE		
0001596851-24-000001	021-210145               	23-DEC-2024		X0708	D/A	LIVE		
